moto g(7) plus,990,2047
STK-LX3,984,2137
VOG-LO4,999,2105
CLT-L29,1000,2040
LYA-L29,1000,2120
MAR-LX1AEEA,990,2210
crosshatch,1330,2675
cv109_lao_com,665,1130
HRY-LX1,1000,2120
J9210,1000,2300
5008Y_EEA,660,1300
judyln_lao_ldu,1330,2800
